Largeur;Longueur;Nombres de points
3;4;0;[]
5;12;0;[]
6;8;1;[(4.0, 3.0)]
7;24;0;[]
8;15;0;[]
9;12;0;[]
9;40;0;[]
10;24;1;[(12.0, 5.0)]
11;60;0;[]
12;16;1;[(8.0, 6.0)]
12;35;0;[]
13;84;0;[]
14;48;1;[(24.0, 7.0)]
15;20;0;[]
15;36;0;[]
15;112;0;[]
16;30;1;[(15.0, 8.0)]
16;63;0;[]
17;144;0;[]
18;24;1;[(12.0, 9.0)]
18;80;1;[(40.0, 9.0)]
19;180;0;[]
20;21;0;[]
20;48;1;[(24.0, 10.0)]
20;99;0;[]
21;28;0;[]
21;72;0;[]
22;120;1;[(60.0, 11.0)]
24;32;1;[(16.0, 12.0)]
24;45;0;[]
24;70;1;[(35.0, 12.0)]
24;143;0;[]
25;60;0;[]
26;168;1;[(84.0, 13.0)]
27;36;0;[]
27;120;0;[]
28;45;0;[]
28;96;1;[(48.0, 14.0)]
28;195;0;[]
30;40;1;[(20.0, 15.0)]
30;72;1;[(36.0, 15.0)]
32;60;1;[(30.0, 16.0)]
32;126;1;[(63.0, 16.0)]
33;44;0;[]
33;56;0;[]
33;180;0;[]
35;84;0;[]
35;120;0;[]
36;48;1;[(24.0, 18.0)]
36;77;0;[]
36;105;0;[]
36;160;1;[(80.0, 18.0)]
39;52;0;[]
39;80;2;[(40.0, 9.0), (40.0, 30.0)]
40;42;1;[(21.0, 20.0)]
40;75;0;[]
40;96;1;[(48.0, 20.0)]
40;198;1;[(99.0, 20.0)]
42;56;1;[(28.0, 21.0)]
42;144;1;[(72.0, 21.0)]
44;117;0;[]
45;60;0;[]
45;108;0;[]
45;200;0;[]
48;55;2;[(10.0, 24.0), (45.0, 24.0)]
48;64;1;[(32.0, 24.0)]
48;90;1;[(45.0, 24.0)]
48;140;1;[(70.0, 24.0)]
48;189;0;[]
49;168;0;[]
50;120;1;[(60.0, 25.0)]
51;68;0;[]
51;140;0;[]
52;165;0;[]
54;72;1;[(36.0, 27.0)]
55;132;0;[]
56;90;1;[(45.0, 28.0)]
56;105;0;[]
56;192;1;[(96.0, 28.0)]
57;76;0;[]
57;176;0;[]
60;63;0;[]
60;80;1;[(40.0, 30.0)]
60;91;0;[]
60;144;1;[(72.0, 30.0)]
60;175;0;[]
63;84;0;[]
64;120;1;[(60.0, 32.0)]
65;72;0;[]
65;156;0;[]
66;88;1;[(44.0, 33.0)]
66;112;1;[(56.0, 33.0)]
69;92;0;[]
70;168;1;[(84.0, 35.0)]
72;96;1;[(48.0, 36.0)]
72;135;0;[]
72;154;1;[(77.0, 36.0)]
75;100;0;[]
75;180;0;[]
78;104;1;[(52.0, 39.0)]
78;160;3;[(80.0, 18.0), (80.0, 39.0), (80.0, 60.0)]
80;84;1;[(42.0, 40.0)]
80;150;1;[(75.0, 40.0)]
80;192;1;[(96.0, 40.0)]
81;108;0;[]
84;112;1;[(56.0, 42.0)]
84;135;0;[]
84;187;0;[]
85;132;0;[]
87;116;0;[]
88;105;0;[]
88;165;0;[]
90;120;1;[(60.0, 45.0)]
93;124;0;[]
95;168;0;[]
96;110;3;[(20.0, 48.0), (55.0, 48.0), (90.0, 48.0)]
96;128;1;[(64.0, 48.0)]
96;180;1;[(90.0, 48.0)]
99;132;0;[]
99;168;0;[]
100;105;0;[]
102;136;1;[(68.0, 51.0)]
104;153;0;[]
104;195;0;[]
105;140;0;[]
108;144;1;[(72.0, 54.0)]
111;148;0;[]
112;180;1;[(90.0, 56.0)]
114;152;1;[(76.0, 57.0)]
117;156;0;[]
119;120;0;[]
120;126;1;[(63.0, 60.0)]
120;160;1;[(80.0, 60.0)]
120;182;1;[(91.0, 60.0)]
123;164;0;[]
126;168;1;[(84.0, 63.0)]
129;172;0;[]
130;144;1;[(72.0, 65.0)]
132;176;1;[(88.0, 66.0)]
133;156;0;[]
135;180;0;[]
138;184;1;[(92.0, 69.0)]
140;147;0;[]
140;171;0;[]
141;188;0;[]
144;165;2;[(30.0, 72.0), (135.0, 72.0)]
144;192;1;[(96.0, 72.0)]
147;196;0;[]
150;200;1;[(100.0, 75.0)]
160;168;1;[(84.0, 80.0)]
180;189;0;[]
